>>00:00:00 : выставлено : Нет давления в пневмосети
>>00:00:00 : выставлено : Нет охлаждения п/д
>>00:00:00 : выставлено : Нет охлаждения ФВН камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(грубо)
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(точно)
>>00:00:00 : выставлено : ФВН камеры: нет удаленного управления
>>00:00:00 : выставлено : ФВН камеры: предупреждение
>>00:00:00 : выставлено : Нет охлаждения ИП
>>00:00:00 : выставлено : Нет охлаждения ловушки
>>11:04:14 : снято : Ограничение движения УС ВЧГ ИП(грубо)
>>11:04:14 : снято : Ограничение движения УС ВЧГ ИП(точно)
>>11:04:14 : снято : ФВН камеры: нет удаленного управления
>>11:04:14 : снято : ФВН камеры: предупреждение
>>11:04:15 : выставлено : Нет связи с транспортным модулем
>>11:06:14 : снято : Нет давления в пневмосети
>>11:18:27 : снято : Нет связи с транспортным модулем
>>11:18:41 : выставлено : Нет давления в пневмосети
>>11:18:46 : снято : Нет давления в пневмосети
>>11:20:10 : выставлено : Нет давления в пневмосети
>>11:20:15 : снято : Нет давления в пневмосети
>>11:41:35 : снято : ТМН: температура не в норме
>>12:13:18 : выставлено : Нет связи с транспортным модулем
>>12:13:18 : снято : Нет связи с транспортным модулем
>>12:17:17 : выставлено : Нет связи с транспортным модулем
>>12:17:19 : снято : Нет связи с транспортным модулем
>>12:17:40 : выставлено : Нет связи с транспортным модулем
>>12:17:41 : снято : Нет связи с транспортным модулем
>>12:17:43 : выставлено : Нет связи с транспортным модулем
>>12:17:44 : снято : Нет связи с транспортным модулем
>>12:17:45 : выставлено : Нет связи с транспортным модулем
>>12:17:46 : снято : Нет связи с транспортным модулем
>>12:19:03 : выставлено : Нет связи с транспортным модулем
>>12:19:03 : снято : Нет связи с транспортным модулем
>>12:19:33 : выставлено : Нет связи с транспортным модулем
>>12:19:34 : снято : Нет связи с транспортным модулем
>>12:19:41 : выставлено : Нет связи с транспортным модулем
>>12:19:42 : снято : Нет связи с транспортным модулем
>>12:20:06 : выставлено : Нет связи с транспортным модулем
>>12:20:09 : снято : Нет связи с транспортным модулем
>>12:20:31 : выставлено : Нет связи с транспортным модулем
>>12:20:34 : снято : Нет связи с транспортным модулем
>>12:20:48 : выставлено : Нет связи с транспортным модулем
>>12:20:53 : снято : Нет связи с транспортным модулем
>>12:21:13 : выставлено : Нет связи с транспортным модулем
>>12:21:22 : снято : Нет связи с транспортным модулем
>>12:21:26 : выставлено : Нет связи с транспортным модулем
>>12:21:29 : снято : Нет связи с транспортным модулем
>>12:21:39 : выставлено : Нет связи с транспортным модулем
>>12:21:40 : снято : Нет связи с транспортным модулем
>>12:21:57 : выставлено : Нет связи с транспортным модулем
>>12:21:58 : снято : Нет связи с транспортным модулем
>>12:22:00 : выставлено : Нет связи с транспортным модулем
>>12:22:00 : снято : Нет связи с транспортным модулем
>>12:22:03 : выставлено : Нет связи с транспортным модулем
>>12:22:04 : снято : Нет связи с транспортным модулем
>>12:22:11 : выставлено : Нет связи с транспортным модулем
>>12:22:13 : снято : Нет связи с транспортным модулем
>>12:22:22 : выставлено : Нет связи с транспортным модулем
>>12:22:22 : снято : Нет связи с транспортным модулем
>>12:22:26 : выставлено : Нет связи с транспортным модулем
>>12:22:32 : снято : Нет связи с транспортным модулем
>>12:22:38 : выставлено : Нет связи с транспортным модулем
>>12:22:39 : снято : Нет связи с транспортным модулем
>>12:23:10 : выставлено : Нет связи с транспортным модулем
>>12:23:13 : снято : Нет связи с транспортным модулем
>>12:23:15 : выставлено : Нет связи с транспортным модулем
>>12:23:18 : снято : Нет связи с транспортным модулем
>>12:23:20 : выставлено : Нет связи с транспортным модулем
>>12:23:25 : снято : Нет связи с транспортным модулем
>>12:23:35 : выставлено : Нет связи с транспортным модулем
>>12:23:35 : снято : Нет связи с транспортным модулем
>>12:23:37 : выставлено : Нет связи с транспортным модулем
>>12:23:37 : снято : Нет связи с транспортным модулем
>>12:23:44 : выставлено : Нет связи с транспортным модулем
>>12:23:44 : снято : Нет связи с транспортным модулем
>>12:23:46 : выставлено : Нет связи с транспортным модулем
>>12:23:50 : снято : Нет связи с транспортным модулем
>>12:23:52 : выставлено : Нет связи с транспортным модулем
>>12:23:53 : снято : Нет связи с транспортным модулем
>>12:23:55 : выставлено : Нет связи с транспортным модулем
>>12:23:59 : снято : Нет связи с транспортным модулем
>>12:24:01 : выставлено : Нет связи с транспортным модулем
>>12:24:02 : снято : Нет связи с транспортным модулем
>>12:24:04 : выставлено : Нет связи с транспортным модулем
>>12:24:05 : снято : Нет связи с транспортным модулем
>>12:24:09 : выставлено : Нет связи с транспортным модулем
>>12:24:11 : снято : Нет связи с транспортным модулем
>>12:24:13 : выставлено : Нет связи с транспортным модулем
>>12:24:15 : снято : Нет связи с транспортным модулем
>>12:24:17 : выставлено : Нет связи с транспортным модулем
>>12:24:19 : снято : Нет связи с транспортным модулем
>>12:24:23 : выставлено : Нет связи с транспортным модулем
>>12:24:25 : снято : Нет связи с транспортным модулем
>>12:24:31 : выставлено : Нет связи с транспортным модулем
>>12:24:32 : снято : Нет связи с транспортным модулем
>>12:24:36 : выставлено : Нет связи с транспортным модулем
>>12:24:51 : снято : Нет связи с транспортным модулем
>>12:24:57 : выставлено : Нет связи с транспортным модулем
>>12:24:59 : снято : Нет связи с транспортным модулем
>>12:25:15 : выставлено : Нет связи с транспортным модулем
>>12:25:19 : снято : Нет связи с транспортным модулем
>>12:25:21 : выставлено : Нет связи с транспортным модулем
>>12:25:22 : снято : Нет связи с транспортным модулем
>>12:25:24 : выставлено : Нет связи с транспортным модулем
>>12:25:26 : снято : Нет связи с транспортным модулем
>>12:25:28 : выставлено : Нет связи с транспортным модулем
>>12:25:32 : снято : Нет связи с транспортным модулем
>>12:25:39 : выставлено : Нет связи с транспортным модулем
>>12:25:44 : снято : Нет связи с транспортным модулем
>>12:25:48 : выставлено : Нет связи с транспортным модулем
>>12:25:49 : снято : Нет связи с транспортным модулем
>>12:25:52 : выставлено : Нет связи с транспортным модулем
>>12:25:54 : снято : Нет связи с транспортным модулем
>>12:26:00 : выставлено : Нет связи с транспортным модулем
>>12:26:08 : снято : Нет связи с транспортным модулем
>>12:26:10 : выставлено : Нет связи с транспортным модулем
>>12:26:12 : снято : Нет связи с транспортным модулем
>>12:26:36 : выставлено : Нет связи с транспортным модулем
>>12:26:37 : снято : Нет связи с транспортным модулем
>>12:26:44 : выставлено : Нет связи с транспортным модулем
>>12:26:45 : снято : Нет связи с транспортным модулем
>>12:26:55 : выставлено : Нет связи с транспортным модулем
>>12:26:57 : снято : Нет связи с транспортным модулем
>>12:27:00 : выставлено : Нет связи с транспортным модулем
>>12:27:02 : снято : Нет связи с транспортным модулем
>>12:27:04 : выставлено : Нет связи с транспортным модулем
>>12:27:04 : снято : Нет связи с транспортным модулем
>>12:27:08 : выставлено : Нет связи с транспортным модулем
>>12:27:13 : снято : Нет связи с транспортным модулем
>>12:27:18 : выставлено : Нет связи с транспортным модулем
>>12:27:22 : снято : Нет связи с транспортным модулем
>>12:27:29 : выставлено : Нет связи с транспортным модулем
>>12:27:31 : снято : Нет связи с транспортным модулем
>>12:27:35 : выставлено : Нет связи с транспортным модулем
>>12:27:44 : снято : Нет связи с транспортным модулем
>>12:27:46 : выставлено : Нет связи с транспортным модулем
>>12:27:47 : снято : Нет связи с транспортным модулем
>>12:27:49 : выставлено : Нет связи с транспортным модулем
>>12:27:52 : снято : Нет связи с транспортным модулем
>>12:27:55 : выставлено : Нет связи с транспортным модулем
>>12:27:56 : снято : Нет связи с транспортным модулем
>>12:27:58 : выставлено : Нет связи с транспортным модулем
>>12:28:05 : снято : Нет связи с транспортным модулем
>>12:28:07 : выставлено : Нет связи с транспортным модулем
>>12:28:12 : снято : Нет связи с транспортным модулем
>>12:28:15 : выставлено : Нет связи с транспортным модулем
>>12:28:16 : снято : Нет связи с транспортным модулем
>>12:28:20 : выставлено : Нет связи с транспортным модулем
>>12:28:26 : снято : Нет связи с транспортным модулем
>>12:28:28 : выставлено : Нет связи с транспортным модулем
>>12:28:33 : снято : Нет связи с транспортным модулем
