>>00:00:00 : выставлено : Нет охлаждения п/д
>>00:00:00 : выставлено : Нет охлаждения ФВН камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>00:00:00 : выставлено : Нет охлаждения ИП
>>00:00:00 : выставлено : Нет охлаждения ловушки
>>11:14:29 : снято : ТМН: температура не в норме
>>11:22:37 : выставлено : Нет связи с транспортным модулем
>>11:22:38 : снято : Нет связи с транспортным модулем
>>11:23:46 : выставлено : Нет связи с транспортным модулем
>>11:23:47 : снято : Нет связи с транспортным модулем
>>11:26:25 : выставлено : Нет связи с транспортным модулем
>>11:26:25 : снято : Нет связи с транспортным модулем
>>11:26:42 : выставлено : Нет связи с транспортным модулем
>>11:26:43 : снято : Нет связи с транспортным модулем
>>11:27:00 : выставлено : Нет связи с транспортным модулем
>>11:27:01 : снято : Нет связи с транспортным модулем
>>11:27:15 : выставлено : Нет связи с транспортным модулем
>>11:27:16 : снято : Нет связи с транспортным модулем
>>11:28:39 : выставлено : Нет связи с транспортным модулем
>>11:28:41 : снято : Нет связи с транспортным модулем
>>11:28:44 : выставлено : Нет связи с транспортным модулем
>>11:28:45 : снято : Нет связи с транспортным модулем
>>11:28:56 : выставлено : Нет связи с транспортным модулем
>>11:28:57 : снято : Нет связи с транспортным модулем
>>11:29:02 : выставлено : Нет связи с транспортным модулем
>>11:29:03 : снято : Нет связи с транспортным модулем
>>11:29:42 : выставлено : Нет связи с транспортным модулем
>>11:29:43 : снято : Нет связи с транспортным модулем
>>11:30:09 : выставлено : Нет связи с транспортным модулем
>>11:30:10 : снято : Нет связи с транспортным модулем
>>11:30:31 : выставлено : Нет связи с транспортным модулем
>>11:30:32 : снято : Нет связи с транспортным модулем
>>11:30:51 : выставлено : Нет связи с транспортным модулем
>>11:30:56 : снято : Нет связи с транспортным модулем
>>11:30:58 : выставлено : Нет связи с транспортным модулем
>>11:30:59 : снято : Нет связи с транспортным модулем
>>11:31:15 : выставлено : Нет связи с транспортным модулем
>>11:31:20 : снято : Нет связи с транспортным модулем
>>11:31:34 : выставлено : Нет связи с транспортным модулем
>>11:31:36 : снято : Нет связи с транспортным модулем
>>11:31:38 : выставлено : Нет связи с транспортным модулем
>>11:31:44 : снято : Нет связи с транспортным модулем
>>11:31:52 : выставлено : Нет связи с транспортным модулем
>>11:32:00 : снято : Нет связи с транспортным модулем
>>11:32:02 : выставлено : Нет связи с транспортным модулем
>>11:32:04 : снято : Нет связи с транспортным модулем
>>11:32:07 : выставлено : Нет связи с транспортным модулем
>>11:32:10 : снято : Нет связи с транспортным модулем
>>11:32:20 : выставлено : Нет связи с транспортным модулем
>>11:32:20 : снято : Нет связи с транспортным модулем
>>11:32:22 : выставлено : Нет связи с транспортным модулем
>>11:32:23 : снято : Нет связи с транспортным модулем
>>11:32:35 : выставлено : Нет связи с транспортным модулем
>>11:32:35 : снято : Нет связи с транспортным модулем
>>11:32:37 : выставлено : Нет связи с транспортным модулем
>>11:32:38 : снято : Нет связи с транспортным модулем
>>11:32:42 : выставлено : Нет связи с транспортным модулем
>>11:32:45 : снято : Нет связи с транспортным модулем
>>11:32:49 : выставлено : Нет связи с транспортным модулем
>>11:32:49 : снято : Нет связи с транспортным модулем
>>11:32:53 : выставлено : Нет связи с транспортным модулем
>>11:32:53 : снято : Нет связи с транспортным модулем
>>11:33:15 : выставлено : Нет связи с транспортным модулем
>>11:33:18 : снято : Нет связи с транспортным модулем
>>11:33:24 : выставлено : Нет связи с транспортным модулем
>>11:33:25 : снято : Нет связи с транспортным модулем
>>11:33:31 : выставлено : Нет связи с транспортным модулем
>>11:33:42 : снято : Нет связи с транспортным модулем
>>11:33:52 : выставлено : Нет связи с транспортным модулем
>>11:33:53 : снято : Нет связи с транспортным модулем
>>11:33:55 : выставлено : Нет связи с транспортным модулем
>>11:33:56 : снято : Нет связи с транспортным модулем
>>11:34:00 : выставлено : Нет связи с транспортным модулем
>>11:34:01 : снято : Нет связи с транспортным модулем
>>11:34:04 : выставлено : Нет связи с транспортным модулем
>>11:34:15 : снято : Нет связи с транспортным модулем
>>11:34:17 : выставлено : Нет связи с транспортным модулем
>>11:34:18 : снято : Нет связи с транспортным модулем
>>11:34:22 : выставлено : Нет связи с транспортным модулем
>>11:34:36 : снято : Нет связи с транспортным модулем
>>11:34:40 : выставлено : Нет связи с транспортным модулем
>>11:34:48 : снято : Нет связи с транспортным модулем
>>11:34:50 : выставлено : Нет связи с транспортным модулем
>>11:34:54 : снято : Нет связи с транспортным модулем
>>11:35:00 : выставлено : Нет связи с транспортным модулем
>>11:35:01 : снято : Нет связи с транспортным модулем
>>11:35:06 : выставлено : Нет связи с транспортным модулем
>>11:35:12 : снято : Нет связи с транспортным модулем
>>11:35:17 : выставлено : Нет связи с транспортным модулем
>>11:35:21 : снято : Нет связи с транспортным модулем
>>11:35:23 : выставлено : Нет связи с транспортным модулем
>>11:35:24 : снято : Нет связи с транспортным модулем
>>11:35:27 : выставлено : Нет связи с транспортным модулем
>>11:35:27 : снято : Нет связи с транспортным модулем
>>11:35:33 : выставлено : Нет связи с транспортным модулем
>>11:35:34 : снято : Нет связи с транспортным модулем
>>11:35:45 : выставлено : Нет связи с транспортным модулем
>>11:35:46 : снято : Нет связи с транспортным модулем
>>11:35:48 : выставлено : Нет связи с транспортным модулем
>>11:35:49 : снято : Нет связи с транспортным модулем
>>11:35:53 : выставлено : Нет связи с транспортным модулем
>>11:35:58 : снято : Нет связи с транспортным модулем
>>11:36:08 : выставлено : Нет связи с транспортным модулем
>>11:36:09 : снято : Нет связи с транспортным модулем
>>11:36:15 : выставлено : Нет связи с транспортным модулем
>>11:36:27 : снято : Нет связи с транспортным модулем
>>11:36:35 : выставлено : Нет связи с транспортным модулем
>>11:36:42 : снято : Нет связи с транспортным модулем
>>11:36:46 : выставлено : Нет связи с транспортным модулем
>>11:36:46 : снято : Нет связи с транспортным модулем
>>11:36:48 : выставлено : Нет связи с транспортным модулем
>>11:36:49 : снято : Нет связи с транспортным модулем
>>11:36:55 : выставлено : Нет связи с транспортным модулем
>>11:37:02 : снято : Нет связи с транспортным модулем
>>11:37:10 : выставлено : Нет связи с транспортным модулем
>>11:37:14 : снято : Нет связи с транспортным модулем
>>11:37:22 : выставлено : Нет связи с транспортным модулем
>>11:37:28 : снято : Нет связи с транспортным модулем
>>11:37:30 : выставлено : Нет связи с транспортным модулем
>>11:37:36 : снято : Нет связи с транспортным модулем
>>11:37:40 : выставлено : Нет связи с транспортным модулем
>>11:37:43 : снято : Нет связи с транспортным модулем
>>11:37:45 : выставлено : Нет связи с транспортным модулем
>>11:37:46 : снято : Нет связи с транспортным модулем
>>11:37:51 : выставлено : Нет связи с транспортным модулем
>>11:38:28 : снято : Нет связи с транспортным модулем
>>11:38:30 : выставлено : Нет связи с транспортным модулем
>>11:38:37 : снято : Нет связи с транспортным модулем
>>11:38:39 : выставлено : Нет связи с транспортным модулем
>>11:38:43 : снято : Нет связи с транспортным модулем
>>11:38:46 : выставлено : Нет связи с транспортным модулем
>>11:38:49 : снято : Нет связи с транспортным модулем
>>11:38:51 : выставлено : Нет связи с транспортным модулем
>>11:39:12 : снято : Нет связи с транспортным модулем
>>11:39:14 : выставлено : Нет связи с транспортным модулем
>>11:39:18 : снято : Нет связи с транспортным модулем
>>11:39:20 : выставлено : Нет связи с транспортным модулем
>>11:39:23 : снято : Нет связи с транспортным модулем
>>11:39:26 : выставлено : Нет связи с транспортным модулем
>>11:39:29 : снято : Нет связи с транспортным модулем
>>11:39:31 : выставлено : Нет связи с транспортным модулем
>>11:40:04 : снято : Нет связи с транспортным модулем
>>11:40:06 : выставлено : Нет связи с транспортным модулем
>>11:40:07 : снято : Нет связи с транспортным модулем
>>11:40:11 : выставлено : Нет связи с транспортным модулем
>>11:40:11 : снято : Нет связи с транспортным модулем
>>11:40:15 : выставлено : Нет связи с транспортным модулем
>>11:40:20 : снято : Нет связи с транспортным модулем
>>11:40:22 : выставлено : Нет связи с транспортным модулем
>>11:40:23 : снято : Нет связи с транспортным модулем
>>11:40:27 : выставлено : Нет связи с транспортным модулем
>>11:40:31 : снято : Нет связи с транспортным модулем
>>11:40:33 : выставлено : Нет связи с транспортным модулем
>>11:40:37 : снято : Нет связи с транспортным модулем
