>>08:57:28 : выставлено : Нет охлаждения магнетрона
>>08:57:28 : выставлено : Нет охлаждения ТМН
>>08:57:28 : выставлено : Нет охлаждения шлюза
>>08:57:28 : выставлено : Нет давления в пневмосети
>>08:57:28 : выставлено : ТМН: предупреждение по температуре
>>08:57:28 : выставлено : Авария привода вращения магнетрона
>>08:57:28 : выставлено : Авария привода вращения п/д
>>08:57:28 : выставлено : Авария привода поворота заслонки
>>08:57:28 : выставлено : Авария привода манипулятора
>>08:57:28 : выставлено : Авария привода подъёма п/д
>>08:57:28 : снято : Нет давления в пневмосети
>>08:57:28 : снято : ТМН: предупреждение по температуре
>>08:57:28 : снято : Авария привода вращения магнетрона
>>08:57:28 : снято : Авария привода вращения п/д
>>08:57:28 : снято : Авария привода поворота заслонки
>>08:57:28 : снято : Авария привода манипулятора
>>08:57:28 : снято : Авария привода подъёма п/д
>>08:57:29 : выставлено : Нет связи с БПМ
>>08:58:52 : снято : Нет связи с БПМ
>>08:58:54 : выставлено : Нет связи с БПМ
>>09:00:16 : снято : Нет связи с БПМ
>>09:00:18 : выставлено : Нет связи с БПМ
>>09:01:40 : снято : Нет связи с БПМ
>>09:01:42 : выставлено : Нет связи с БПМ
>>09:03:04 : снято : Нет связи с БПМ
>>09:03:06 : выставлено : Нет связи с БПМ
>>09:04:28 : снято : Нет связи с БПМ
>>09:04:30 : выставлено : Нет связи с БПМ
>>09:05:51 : снято : Нет связи с БПМ
>>09:05:53 : выставлено : Нет связи с БПМ
>>09:07:15 : снято : Нет связи с БПМ
>>09:07:17 : выставлено : Нет связи с БПМ
>>09:08:39 : снято : Нет связи с БПМ
>>09:08:41 : выставлено : Нет связи с БПМ
>>09:10:03 : снято : Нет связи с БПМ
>>09:10:05 : выставлено : Нет связи с БПМ
>>09:11:27 : снято : Нет связи с БПМ
>>09:11:29 : выставлено : Нет связи с БПМ
>>09:12:51 : снято : Нет связи с БПМ
>>09:12:53 : выставлено : Нет связи с БПМ
>>09:14:15 : снято : Нет связи с БПМ
>>09:14:17 : выставлено : Нет связи с БПМ
>>09:15:39 : снято : Нет связи с БПМ
>>09:15:41 : выставлено : Нет связи с БПМ
>>09:17:02 : снято : Нет связи с БПМ
>>09:17:04 : выставлено : Нет связи с БПМ
>>09:18:26 : снято : Нет связи с БПМ
>>09:18:28 : выставлено : Нет связи с БПМ
>>09:19:50 : снято : Нет связи с БПМ
>>09:19:52 : выставлено : Нет связи с БПМ
>>09:21:14 : снято : Нет связи с БПМ
>>09:21:16 : выставлено : Нет связи с БПМ
>>09:22:38 : снято : Нет связи с БПМ
>>09:22:40 : выставлено : Нет связи с БПМ
>>09:24:02 : снято : Нет связи с БПМ
>>09:24:03 : выставлено : Нет связи с БПМ
>>09:25:26 : снято : Нет связи с БПМ
>>09:25:28 : выставлено : Нет связи с БПМ
>>09:26:49 : снято : Нет связи с БПМ
>>09:26:51 : выставлено : Нет связи с БПМ
>>09:28:13 : снято : Нет связи с БПМ
>>09:28:15 : выставлено : Нет связи с БПМ
>>09:29:37 : снято : Нет связи с БПМ
>>09:29:39 : выставлено : Нет связи с БПМ
>>09:31:01 : снято : Нет связи с БПМ
>>09:31:03 : выставлено : Нет связи с БПМ
>>09:32:25 : снято : Нет связи с БПМ
>>09:32:27 : выставлено : Нет связи с БПМ
>>09:33:49 : снято : Нет связи с БПМ
>>09:33:51 : выставлено : Нет связи с БПМ
>>09:35:13 : снято : Нет связи с БПМ
>>09:35:14 : выставлено : Нет связи с БПМ
>>09:36:37 : снято : Нет связи с БПМ
>>09:36:39 : выставлено : Нет связи с БПМ
>>09:38:00 : снято : Нет связи с БПМ
>>09:38:02 : выставлено : Нет связи с БПМ
>>09:39:24 : снято : Нет связи с БПМ
>>09:39:26 : выставлено : Нет связи с БПМ
>>09:40:48 : снято : Нет связи с БПМ
>>09:40:50 : выставлено : Нет связи с БПМ
>>09:42:12 : снято : Нет связи с БПМ
>>09:42:14 : выставлено : Нет связи с БПМ
>>09:43:36 : снято : Нет связи с БПМ
>>09:43:38 : выставлено : Нет связи с БПМ
>>09:45:00 : снято : Нет связи с БПМ
>>09:45:02 : выставлено : Нет связи с БПМ
>>09:46:23 : снято : Нет связи с БПМ
>>09:46:25 : выставлено : Нет связи с БПМ
>>09:47:47 : снято : Нет связи с БПМ
>>09:47:49 : выставлено : Нет связи с БПМ
>>09:49:11 : снято : Нет связи с БПМ
>>09:49:13 : выставлено : Нет связи с БПМ
>>09:50:35 : снято : Нет связи с БПМ
>>09:50:37 : выставлено : Нет связи с БПМ
>>09:51:59 : снято : Нет связи с БПМ
>>09:52:01 : выставлено : Нет связи с БПМ
>>09:53:23 : снято : Нет связи с БПМ
>>09:53:25 : выставлено : Нет связи с БПМ
>>09:54:47 : снято : Нет связи с БПМ
>>09:54:49 : выставлено : Нет связи с БПМ
>>09:56:11 : снято : Нет связи с БПМ
>>09:56:13 : выставлено : Нет связи с БПМ
>>09:57:35 : снято : Нет связи с БПМ
>>09:57:37 : выставлено : Нет связи с БПМ
>>09:58:59 : снято : Нет связи с БПМ
>>09:59:00 : выставлено : Нет связи с БПМ
>>10:00:22 : снято : Нет связи с БПМ
>>10:00:24 : выставлено : Нет связи с БПМ
>>10:01:46 : снято : Нет связи с БПМ
>>10:01:48 : выставлено : Нет связи с БПМ
>>10:03:10 : снято : Нет связи с БПМ
>>10:03:12 : выставлено : Нет связи с БПМ
>>10:04:34 : снято : Нет связи с БПМ
>>10:04:36 : выставлено : Нет связи с БПМ
>>10:05:58 : снято : Нет связи с БПМ
>>10:06:00 : выставлено : Нет связи с БПМ
>>10:07:21 : снято : Нет связи с БПМ
>>10:07:23 : выставлено : Нет связи с БПМ
>>10:08:46 : снято : Нет связи с БПМ
>>10:08:48 : выставлено : Нет связи с БПМ
>>10:10:09 : снято : Нет связи с БПМ
>>10:10:11 : выставлено : Нет связи с БПМ
>>10:11:33 : снято : Нет связи с БПМ
>>10:11:35 : выставлено : Нет связи с БПМ
>>10:12:57 : снято : Нет связи с БПМ
>>10:12:59 : выставлено : Нет связи с БПМ
>>10:14:21 : снято : Нет связи с БПМ
>>10:14:23 : выставлено : Нет связи с БПМ
>>10:15:45 : снято : Нет связи с БПМ
>>10:15:47 : выставлено : Нет связи с БПМ
>>10:17:09 : снято : Нет связи с БПМ
>>10:17:11 : выставлено : Нет связи с БПМ
>>10:18:32 : снято : Нет связи с БПМ
>>10:18:35 : выставлено : Нет связи с БПМ
>>10:19:57 : снято : Нет связи с БПМ
>>10:19:59 : выставлено : Нет связи с БПМ
>>10:21:20 : снято : Нет связи с БПМ
>>10:21:22 : выставлено : Нет связи с БПМ
>>10:22:44 : снято : Нет связи с БПМ
>>10:22:46 : выставлено : Нет связи с БПМ
>>10:24:08 : снято : Нет связи с БПМ
>>10:24:10 : выставлено : Нет связи с БПМ
>>10:25:32 : снято : Нет связи с БПМ
>>10:25:34 : выставлено : Нет связи с БПМ
>>10:26:56 : снято : Нет связи с БПМ
>>10:26:58 : выставлено : Нет связи с БПМ
