>>00:00:00 : выставлено : Автосогласование ВЧГ ИП запрещено
>>00:00:00 : выставлено : Чиллер(п/д): авария
>>00:00:00 : выставлено : Нет давления в пневмосети
>>00:00:00 : выставлено : Нет охлаждения п/держателя
>>00:00:00 : выставлено : Нет охлаждения форнасоса камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(грубо)
>>00:00:00 : выставлено : Ограничение движения УС ВЧГ ИП(точно)
>>00:00:00 : выставлено : Форнасос камеры: нет удаленного управления
>>00:00:00 : выставлено : Форнасос камеры: предупреждение
>>00:00:00 : выставлено : Нет воды в скруббере
>>00:00:00 : выставлено : Авария привода прижима 
>>10:23:11 : снято : Чиллер(п/д): авария
>>10:23:11 : снято : Нет давления в пневмосети
>>10:23:11 : снято : Нет охлаждения п/держателя
>>10:23:11 : снято : Ограничение движения УС ВЧГ ИП(грубо)
>>10:23:11 : снято : Ограничение движения УС ВЧГ ИП(точно)
>>10:23:11 : снято : Форнасос камеры: нет удаленного управления
>>10:23:11 : снято : Форнасос камеры: предупреждение
>>10:23:11 : снято : Нет воды в скруббере
>>10:23:11 : снято : Авария привода прижима 
>>10:23:11 : выставлено : Нет связи с транспортным модулем
>>10:23:38 : снято : Нет связи с транспортным модулем
>>10:23:40 : выставлено : Нет связи с транспортным модулем
>>10:23:42 : снято : Нет связи с транспортным модулем
>>10:23:43 : выставлено : Нет связи с транспортным модулем
>>10:23:44 : снято : Нет связи с транспортным модулем
>>10:23:50 : выставлено : Нет связи с транспортным модулем
>>10:23:50 : снято : Нет связи с транспортным модулем
>>10:23:52 : выставлено : Нет связи с транспортным модулем
>>10:23:53 : снято : Нет связи с транспортным модулем
>>10:23:55 : выставлено : Нет связи с транспортным модулем
>>10:23:55 : снято : Нет связи с транспортным модулем
>>10:23:57 : выставлено : Нет связи с транспортным модулем
>>10:23:58 : снято : Нет связи с транспортным модулем
>>10:24:02 : выставлено : Нет связи с транспортным модулем
>>10:24:03 : снято : Нет связи с транспортным модулем
>>10:24:05 : выставлено : Нет связи с транспортным модулем
>>10:24:06 : снято : Нет связи с транспортным модулем
>>10:24:09 : выставлено : Нет связи с транспортным модулем
>>10:24:09 : снято : Нет связи с транспортным модулем
>>10:24:11 : выставлено : Нет связи с транспортным модулем
>>10:24:12 : снято : Нет связи с транспортным модулем
>>10:24:14 : выставлено : Нет связи с транспортным модулем
>>10:24:14 : снято : Нет связи с транспортным модулем
>>10:24:16 : выставлено : Нет связи с транспортным модулем
>>10:24:17 : снято : Нет связи с транспортным модулем
>>10:24:18 : выставлено : Нет связи с транспортным модулем
>>10:24:20 : снято : Нет связи с транспортным модулем
>>10:24:21 : выставлено : Нет связи с транспортным модулем
>>10:24:21 : снято : Нет связи с транспортным модулем
>>10:24:23 : выставлено : Нет связи с транспортным модулем
>>10:24:24 : снято : Нет связи с транспортным модулем
>>10:24:27 : выставлено : Нет связи с транспортным модулем
>>10:24:28 : снято : Нет связи с транспортным модулем
>>10:24:32 : выставлено : Нет связи с транспортным модулем
>>10:24:32 : снято : Нет связи с транспортным модулем
>>10:24:34 : выставлено : Нет связи с транспортным модулем
>>10:24:35 : снято : Нет связи с транспортным модулем
>>10:24:37 : выставлено : Нет связи с транспортным модулем
>>10:24:37 : снято : Нет связи с транспортным модулем
>>10:24:39 : выставлено : Нет связи с транспортным модулем
>>10:24:40 : снято : Нет связи с транспортным модулем
>>10:24:43 : выставлено : Нет связи с транспортным модулем
>>10:24:45 : снято : Нет связи с транспортным модулем
>>10:24:47 : выставлено : Нет связи с транспортным модулем
>>10:24:49 : снято : Нет связи с транспортным модулем
>>10:24:51 : выставлено : Нет связи с транспортным модулем
>>10:24:51 : снято : Нет связи с транспортным модулем
>>10:24:55 : выставлено : Нет связи с транспортным модулем
>>10:24:55 : снято : Нет связи с транспортным модулем
>>10:24:57 : выставлено : Нет связи с транспортным модулем
>>10:24:58 : снято : Нет связи с транспортным модулем
>>10:25:00 : выставлено : Нет связи с транспортным модулем
>>10:25:00 : снято : Нет связи с транспортным модулем
>>10:25:04 : выставлено : Нет связи с транспортным модулем
>>10:25:04 : снято : Нет связи с транспортным модулем
>>10:25:06 : выставлено : Нет связи с транспортным модулем
>>10:25:07 : снято : Нет связи с транспортным модулем
>>10:25:09 : выставлено : Нет связи с транспортным модулем
>>10:25:09 : снято : Нет связи с транспортным модулем
>>10:25:16 : выставлено : Нет связи с транспортным модулем
>>10:25:16 : снято : Нет связи с транспортным модулем
>>10:25:18 : выставлено : Нет связи с транспортным модулем
>>10:25:19 : снято : Нет связи с транспортным модулем
>>10:25:21 : выставлено : Нет связи с транспортным модулем
>>10:25:21 : снято : Нет связи с транспортным модулем
>>10:25:23 : выставлено : Нет связи с транспортным модулем
>>10:25:24 : снято : Нет связи с транспортным модулем
>>10:25:26 : выставлено : Нет связи с транспортным модулем
>>10:25:26 : снято : Нет связи с транспортным модулем
>>10:25:30 : выставлено : Нет связи с транспортным модулем
>>10:25:31 : снято : Нет связи с транспортным модулем
>>10:25:31 : выставлено : Нет связи с транспортным модулем
>>10:25:33 : снято : Нет связи с транспортным модулем
>>10:25:35 : выставлено : Нет связи с транспортным модулем
>>10:25:36 : снято : Нет связи с транспортным модулем
>>10:25:38 : выставлено : Нет связи с транспортным модулем
>>10:25:38 : снято : Нет связи с транспортным модулем
>>10:25:42 : выставлено : Нет связи с транспортным модулем
>>10:25:42 : снято : Нет связи с транспортным модулем
>>10:25:44 : выставлено : Нет связи с транспортным модулем
>>10:25:45 : снято : Нет связи с транспортным модулем
>>10:25:47 : выставлено : Нет связи с транспортным модулем
>>10:25:48 : снято : Нет связи с транспортным модулем
>>10:25:50 : выставлено : Нет связи с транспортным модулем
>>10:25:50 : снято : Нет связи с транспортным модулем
>>10:25:53 : выставлено : Нет связи с транспортным модулем
>>10:25:55 : снято : Нет связи с транспортным модулем
>>10:25:57 : выставлено : Нет связи с транспортным модулем
>>10:25:57 : снято : Нет связи с транспортным модулем
>>10:26:01 : выставлено : Нет связи с транспортным модулем
>>10:26:01 : снято : Нет связи с транспортным модулем
>>10:26:03 : выставлено : Нет связи с транспортным модулем
>>10:26:04 : снято : Нет связи с транспортным модулем
>>10:26:06 : выставлено : Нет связи с транспортным модулем
>>10:26:07 : снято : Нет связи с транспортным модулем
>>10:26:09 : выставлено : Нет связи с транспортным модулем
>>10:26:09 : снято : Нет связи с транспортным модулем
>>10:26:15 : выставлено : Нет связи с транспортным модулем
>>10:26:16 : снято : Нет связи с транспортным модулем
>>10:26:18 : выставлено : Нет связи с транспортным модулем
>>10:26:18 : снято : Нет связи с транспортным модулем
>>10:26:20 : выставлено : Нет связи с транспортным модулем
>>10:26:21 : снято : Нет связи с транспортным модулем
>>10:26:23 : выставлено : Нет связи с транспортным модулем
>>10:26:23 : снято : Нет связи с транспортным модулем
>>10:26:27 : выставлено : Нет связи с транспортным модулем
>>10:26:28 : снято : Нет связи с транспортным модулем
>>10:26:29 : выставлено : Нет связи с транспортным модулем
>>10:26:29 : снято : Нет связи с транспортным модулем
>>10:26:30 : выставлено : Нет связи с транспортным модулем
>>10:26:31 : снято : Нет связи с транспортным модулем
>>10:26:34 : выставлено : Нет связи с транспортным модулем
>>10:26:35 : снято : Нет связи с транспортным модулем
>>10:26:35 : выставлено : Нет связи с транспортным модулем
>>10:26:36 : снято : Нет связи с транспортным модулем
>>10:26:37 : выставлено : Нет связи с транспортным модулем
>>10:26:38 : снято : Нет связи с транспортным модулем
>>10:26:39 : выставлено : Нет связи с транспортным модулем
>>10:26:39 : снято : Нет связи с транспортным модулем
>>10:26:41 : выставлено : Нет связи с транспортным модулем
>>10:26:42 : снято : Нет связи с транспортным модулем
>>10:26:44 : выставлено : Нет связи с транспортным модулем
>>10:26:45 : снято : Нет связи с транспортным модулем
>>10:26:47 : выставлено : Нет связи с транспортным модулем
>>10:26:47 : снято : Нет связи с транспортным модулем
>>10:26:51 : выставлено : Нет связи с транспортным модулем
>>10:26:51 : снято : Нет связи с транспортным модулем
>>10:26:53 : выставлено : Нет связи с транспортным модулем
>>10:26:54 : снято : Нет связи с транспортным модулем
>>10:26:56 : выставлено : Нет связи с транспортным модулем
