>>00:00:00 : выставлено : Автосогласование ВЧГ ИП запрещено
>>00:00:00 : выставлено : Чиллер(п/д): авария
>>00:00:00 : выставлено : Нет охлаждения п/держателя
>>00:00:00 : выставлено : Нет охлаждения форнасоса камеры
>>00:00:00 : выставлено : ТМН: температура не в норме
>>00:00:00 : выставлено : Нет охлаждения ТМН
>>09:37:17 : снято : ТМН: температура не в норме
>>10:17:46 : выставлено : Нет связи с транспортным модулем
>>10:17:47 : снято : Нет связи с транспортным модулем
>>10:18:13 : выставлено : Нет связи с транспортным модулем
>>10:18:14 : снято : Нет связи с транспортным модулем
>>10:18:28 : выставлено : Нет связи с транспортным модулем
>>10:18:29 : снято : Нет связи с транспортным модулем
>>10:22:59 : выставлено : Нет связи с транспортным модулем
>>10:23:00 : снято : Нет связи с транспортным модулем
>>10:29:28 : выставлено : Нет связи с транспортным модулем
>>10:29:29 : снято : Нет связи с транспортным модулем
>>10:32:20 : выставлено : Нет связи с транспортным модулем
>>10:32:21 : снято : Нет связи с транспортным модулем
>>10:34:58 : выставлено : Нет связи с транспортным модулем
>>10:34:59 : снято : Нет связи с транспортным модулем
>>10:37:42 : выставлено : Нет связи с транспортным модулем
>>10:37:43 : снято : Нет связи с транспортным модулем
>>10:39:09 : выставлено : Нет связи с транспортным модулем
>>10:39:10 : снято : Нет связи с транспортным модулем
>>10:39:59 : выставлено : Нет связи с транспортным модулем
>>10:40:00 : снято : Нет связи с транспортным модулем
>>10:40:20 : выставлено : Нет связи с транспортным модулем
>>10:40:21 : снято : Нет связи с транспортным модулем
>>10:40:58 : выставлено : Нет связи с транспортным модулем
>>10:40:59 : снято : Нет связи с транспортным модулем
>>10:41:34 : выставлено : Нет связи с транспортным модулем
>>10:41:35 : снято : Нет связи с транспортным модулем
>>10:41:58 : выставлено : Нет связи с транспортным модулем
>>10:41:58 : снято : Нет связи с транспортным модулем
>>10:42:48 : выставлено : Нет связи с транспортным модулем
>>10:42:49 : снято : Нет связи с транспортным модулем
>>10:42:51 : выставлено : Нет связи с транспортным модулем
>>10:42:52 : снято : Нет связи с транспортным модулем
>>10:43:09 : выставлено : Нет связи с транспортным модулем
>>10:43:10 : снято : Нет связи с транспортным модулем
>>10:43:35 : выставлено : Нет связи с транспортным модулем
>>10:43:36 : снято : Нет связи с транспортным модулем
>>10:44:18 : выставлено : Нет связи с транспортным модулем
>>10:44:18 : снято : Нет связи с транспортным модулем
>>10:44:50 : выставлено : Нет связи с транспортным модулем
>>10:44:51 : снято : Нет связи с транспортным модулем
>>10:45:05 : выставлено : Нет связи с транспортным модулем
>>10:45:06 : снято : Нет связи с транспортным модулем
>>10:47:24 : выставлено : Нет связи с транспортным модулем
>>10:47:24 : снято : Нет связи с транспортным модулем
>>10:47:56 : выставлено : Нет связи с транспортным модулем
>>10:47:57 : снято : Нет связи с транспортным модулем
>>10:52:55 : выставлено : Нет связи с транспортным модулем
>>10:52:56 : снято : Нет связи с транспортным модулем
>>10:55:52 : выставлено : Нет связи с транспортным модулем
>>10:55:53 : снято : Нет связи с транспортным модулем
>>10:57:50 : выставлено : Нет связи с транспортным модулем
>>10:57:51 : снято : Нет связи с транспортным модулем
>>11:14:22 : выставлено : Нет связи с транспортным модулем
>>11:14:23 : снято : Нет связи с транспортным модулем
>>11:29:59 : выставлено : Нет связи с транспортным модулем
>>11:30:00 : снято : Нет связи с транспортным модулем
>>11:38:53 : выставлено : Нет связи с транспортным модулем
>>11:38:54 : снято : Нет связи с транспортным модулем
>>11:40:50 : выставлено : Нет связи с транспортным модулем
>>11:40:51 : снято : Нет связи с транспортным модулем
>>11:42:41 : выставлено : Нет связи с транспортным модулем
>>11:42:42 : снято : Нет связи с транспортным модулем
>>11:44:57 : выставлено : Нет связи с транспортным модулем
>>11:44:58 : снято : Нет связи с транспортным модулем
>>11:49:35 : выставлено : Нет связи с транспортным модулем
>>11:49:36 : снято : Нет связи с транспортным модулем
>>11:51:33 : выставлено : Нет связи с транспортным модулем
>>11:51:34 : снято : Нет связи с транспортным модулем
>>11:55:22 : выставлено : Нет связи с транспортным модулем
>>11:55:23 : снято : Нет связи с транспортным модулем
>>11:56:45 : выставлено : Нет связи с транспортным модулем
>>11:56:46 : снято : Нет связи с транспортным модулем
>>12:57:39 : выставлено : Нет связи с транспортным модулем
>>12:57:40 : снято : Нет связи с транспортным модулем
>>12:57:46 : выставлено : Нет связи с транспортным модулем
>>12:57:47 : снято : Нет связи с транспортным модулем
>>12:58:03 : выставлено : Нет связи с транспортным модулем
>>12:58:04 : снято : Нет связи с транспортным модулем
>>12:58:14 : выставлено : Нет связи с транспортным модулем
>>12:58:15 : снято : Нет связи с транспортным модулем
>>12:59:39 : выставлено : Нет связи с транспортным модулем
>>12:59:40 : снято : Нет связи с транспортным модулем
>>12:59:46 : выставлено : Нет связи с транспортным модулем
>>12:59:47 : снято : Нет связи с транспортным модулем
>>12:59:52 : выставлено : Нет связи с транспортным модулем
>>12:59:53 : снято : Нет связи с транспортным модулем
>>13:00:27 : выставлено : Нет связи с транспортным модулем
>>13:00:28 : снято : Нет связи с транспортным модулем
>>13:01:37 : выставлено : Нет связи с транспортным модулем
>>13:01:38 : снято : Нет связи с транспортным модулем
>>13:02:10 : выставлено : Нет связи с транспортным модулем
>>13:02:11 : снято : Нет связи с транспортным модулем
>>13:02:16 : выставлено : Нет связи с транспортным модулем
>>13:02:17 : снято : Нет связи с транспортным модулем
>>13:02:28 : выставлено : Нет связи с транспортным модулем
>>13:02:28 : снято : Нет связи с транспортным модулем
>>13:03:55 : выставлено : Нет связи с транспортным модулем
>>13:03:56 : снято : Нет связи с транспортным модулем
>>13:04:01 : выставлено : Нет связи с транспортным модулем
>>13:04:02 : снято : Нет связи с транспортным модулем
>>13:04:06 : выставлено : Нет связи с транспортным модулем
>>13:04:06 : снято : Нет связи с транспортным модулем
>>13:04:08 : выставлено : Нет связи с транспортным модулем
>>13:04:09 : снято : Нет связи с транспортным модулем
>>13:04:19 : выставлено : Нет связи с транспортным модулем
>>13:04:20 : снято : Нет связи с транспортным модулем
>>13:04:21 : выставлено : Нет связи с транспортным модулем
>>13:04:22 : снято : Нет связи с транспортным модулем
>>13:04:34 : выставлено : Нет связи с транспортным модулем
>>13:04:35 : снято : Нет связи с транспортным модулем
>>13:04:39 : выставлено : Нет связи с транспортным модулем
>>13:04:39 : снято : Нет связи с транспортным модулем
>>13:04:45 : выставлено : Нет связи с транспортным модулем
>>13:04:46 : снято : Нет связи с транспортным модулем
>>13:04:51 : выставлено : Нет связи с транспортным модулем
>>13:04:52 : снято : Нет связи с транспортным модулем
>>13:05:44 : выставлено : Нет связи с транспортным модулем
>>13:05:45 : снято : Нет связи с транспортным модулем
>>13:06:12 : выставлено : Нет связи с транспортным модулем
>>13:06:13 : снято : Нет связи с транспортным модулем
>>13:06:17 : выставлено : Нет связи с транспортным модулем
>>13:06:17 : снято : Нет связи с транспортным модулем
>>13:06:24 : выставлено : Нет связи с транспортным модулем
>>13:06:24 : снято : Нет связи с транспортным модулем
>>13:06:26 : выставлено : Нет связи с транспортным модулем
>>13:06:26 : снято : Нет связи с транспортным модулем
>>13:06:34 : выставлено : Нет связи с транспортным модулем
>>13:06:35 : снято : Нет связи с транспортным модулем
>>13:06:50 : выставлено : Нет связи с транспортным модулем
>>13:06:50 : снято : Нет связи с транспортным модулем
>>13:07:07 : выставлено : Нет связи с транспортным модулем
>>13:07:08 : снято : Нет связи с транспортным модулем
>>13:07:09 : выставлено : Нет связи с транспортным модулем
>>13:07:10 : снято : Нет связи с транспортным модулем
>>13:07:20 : выставлено : Нет связи с транспортным модулем
>>13:07:21 : снято : Нет связи с транспортным модулем
>>13:08:39 : выставлено : Нет связи с транспортным модулем
>>13:08:40 : снято : Нет связи с транспортным модулем
>>13:08:41 : выставлено : Нет связи с транспортным модулем
>>13:08:42 : снято : Нет связи с транспортным модулем
>>13:08:52 : выставлено : Нет связи с транспортным модулем
>>13:08:53 : снято : Нет связи с транспортным модулем
>>13:09:01 : выставлено : Нет связи с транспортным модулем
>>13:09:01 : снято : Нет связи с транспортным модулем
>>13:09:05 : выставлено : Нет связи с транспортным модулем
>>13:09:06 : снято : Нет связи с транспортным модулем
>>13:09:22 : выставлено : Нет связи с транспортным модулем
